,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
6,7,1950,1,26,1/26/50,18:00:00,3,TX,48,1,2,2,0,0,0,26.88,-98.12,26.88,-98.05,4.7,133,1,1,1,47,0,0,0,0
7,8,1950,2,11,2/11/50,13:10:00,3,TX,48,2,2,0,0,4,0,29.42,-95.25,29.52,-95.13,9.9,400,1,1,1,39,0,0,0,0
8,9,1950,2,11,2/11/50,13:50:00,3,TX,48,3,3,12,1,4,0,29.67,-95.05,29.83,-95,12,1000,1,1,1,201,0,0,0,0
9,10,1950,2,11,2/11/50,21:00:00,3,TX,48,4,2,5,0,5,0,32.35,-95.2,32.42,-95.2,4.6,100,1,1,1,423,0,0,0,0
10,11,1950,2,11,2/11/50,23:55:00,3,TX,48,5,2,6,0,5,0,32.98,-94.63,33,-94.7,4.5,67,1,1,1,67,343,0,0,0
11,12,1950,2,12,2/12/50,0:30:00,3,TX,48,6,2,8,1,4,0,33.33,-94.42,33.45,-94.42,8,833,1,1,1,37,0,0,0,0
12,13,1950,2,12,2/12/50,1:15:00,3,TX,48,7,1,0,0,4,0,32.08,-98.35,32.1,-98.33,2.3,233,1,1,1,143,0,0,0,0
13,14,1950,2,12,2/12/50,6:10:00,3,TX,48,8,2,0,0,4,0,31.52,-96.55,31.57,-96.55,3.4,100,1,1,1,293,0,0,0,0
14,15,1950,2,12,2/12/50,11:57:00,3,TX,48,9,1,32,0,5,0,31.8,-94.2,31.88,-94.12,7.7,100,1,1,1,419,0,0,0,0
17,18,1950,2,12,2/12/50,12:00:00,3,TX,48,10,3,15,3,5,0,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1,419,0,0,0,0
58,59,1950,4,28,4/28/50,18:00:00,3,TX,48,11,4,5,5,5,0,32.42,-99.5,32.42,-99.48,1.3,233,1,1,1,59,0,0,0,0
62,63,1950,4,29,4/29/50,15:30:00,3,TX,48,12,1,0,0,4,0,31.9,-98.6,31.73,-98.6,11.5,200,1,1,1,93,0,0,0,0
73,74,1950,5,4,5/4/50,20:30:00,3,TX,48,13,2,13,1,5,0,36.4,-100.8,36.42,-100.77,1.9,50,1,1,1,357,0,0,0,0
100,101,1950,5,14,5/14/50,16:00:00,3,TX,48,14,1,0,0,3,0,29.53,-95.45,0,0,1,100,1,1,1,157,0,0,0,0
103,104,1950,5,15,5/15/50,0:01:00,3,TX,48,15,2,0,0,4,0,29.78,-98.83,29.67,-98.57,18,10,1,1,1,259,0,0,0,0
117,118,1950,5,25,5/25/50,16:30:00,3,TX,48,16,1,0,0,3,0,32.67,-101.88,32.65,-101.85,3,880,1,1,1,115,0,0,0,0
119,120,1950,5,29,5/29/50,17:00:00,3,TX,48,17,1,0,0,0,0,33.35,-96.92,33.3,-96.92,3.4,267,1,1,1,121,0,0,0,0
127,128,1950,6,5,6/5/50,15:55:00,3,TX,48,18,3,6,0,5,0,30.18,-96.4,30.02,-96.05,23.9,67,1,1,1,477,0,0,0,0
128,129,1950,6,5,6/5/50,16:00:00,3,TX,48,19,1,2,0,6,0,29.9,-96.4,29.72,-96.07,23.7,10,1,1,1,15,0,0,0,0
143,144,1950,6,19,6/19/50,20:40:00,3,TX,48,20,0,0,0,0,0,36.08,-102.53,36.08,-102.25,15.8,167,1,1,1,205,0,0,0,0
216,16,1951,3,28,3/28/51,5:10:00,3,TX,48,1,1,0,0,3,0,31.37,-95.6,0,0,0.5,17,1,1,1,225,0,0,0,0
222,22,1951,4,20,4/20/51,15:10:00,3,TX,48,2,2,0,0,4,0,33.92,-98.45,0,0,1.5,17,1,1,1,485,0,0,0,0
250,50,1951,5,9,5/9/51,17:00:00,3,TX,48,3,2,0,0,4,0,33.93,-98.68,33.93,-98.77,4.9,33,1,1,1,485,0,0,0,0
263,63,1951,5,15,5/15/51,18:30:00,3,TX,48,4,1,0,0,2,0,34.5,-102.3,0,0,0.1,10,1,1,1,69,0,0,0,0
266,66,1951,5,18,5/18/51,15:45:00,3,TX,48,5,4,100,2,6,0,33.42,-98.75,0,0,2,200,1,1,1,503,0,0,0,0
283,83,1951,5,24,5/24/51,17:00:00,3,TX,48,6,1,0,1,3,0,33.37,-99.9,0,0,0.5,20,1,1,1,207,0,0,0,0
300,100,1951,5,31,5/31/51,16:00:00,3,TX,48,7,1,0,0,4,0,35.77,-101.38,0,0,0.5,17,1,1,1,233,0,0,0,0
310,110,1951,6,6,6/6/51,18:20:00,3,TX,48,8,1,0,0,4,0,35.23,-101.82,0,0,0.1,10,1,1,1,375,0,0,0,1
311,111,1951,6,6,6/6/51,18:50:00,3,TX,48,9,0,0,0,1,0,35.62,-101.47,0,0,0.1,10,1,1,1,65,0,0,0,1
318,118,1951,6,6,6/6/51,20:06:00,3,TX,48,10,3,12,0,5,0,35.43,-101.18,35.32,-101.07,10.4,100,1,1,1,65,0,0,0,0
319,119,1951,6,6,6/6/51,20:40:00,3,TX,48,11,0,0,0,3,0,35.55,-100.97,0,0,0.1,10,1,1,1,179,0,0,0,0
320,120,1951,6,6,6/6/51,20:50:00,3,TX,48,12,2,0,0,5,0,34.43,-100.2,34.43,-100.13,3.6,1760,1,1,1,75,0,0,0,0
341,141,1951,6,15,6/15/51,22:20:00,3,TX,48,13,1,6,0,5,0,32.45,-100.02,32.45,-99.93,4.9,20,1,1,1,441,0,0,0,0
342,142,1951,6,16,6/16/51,0:30:00,3,TX,48,14,2,0,0,4,0,32.45,-97.42,32.45,-97.17,14.5,20,1,1,1,251,0,0,0,0
378,178,1951,7,2,7/2/51,0:15:00,3,TX,48,15,2,0,0,5,0,34.18,-102.12,0,0,1,20,1,1,1,279,0,0,0,0
473,13,1952,2,1,2/1/52,15:00:00,3,TX,48,1,2,0,0,4,0,30.08,-93.77,0,0,1,67,1,1,1,361,0,0,0,0
500,40,1952,3,2,3/2/52,22:00:00,3,TX,48,2,0,0,0,3,0,32.97,-96.58,0,0,0.2,10,1,1,1,113,0,0,0,0
506,46,1952,3,17,3/17/52,19:30:00,3,TX,48,3,1,0,0,4,0,33.88,-98.58,0,0,0.1,33,1,1,1,485,0,0,0,0
507,47,1952,3,17,3/17/52,20:00:00,3,TX,48,4,0,0,0,3,0,32.92,-98.25,0,0,0.5,20,1,1,1,363,0,0,0,0
543,83,1952,4,3,4/3/52,18:00:00,3,TX,48,5,2,1,0,4,0,33.6,-96.7,33.63,-96.63,4.9,200,1,1,1,181,337,0,0,0
563,103,1952,4,18,4/18/52,14:15:00,3,TX,48,6,1,0,0,3,0,32.22,-95.85,0,0,0.8,200,1,1,1,213,0,0,0,0
568,108,1952,4,21,4/21/52,12:15:00,3,TX,48,7,4,0,0,4,0,31.5,-97.45,31.48,-97.42,2.3,200,1,1,1,309,0,0,0,0
577,117,1952,4,30,4/30/52,18:30:00,3,TX,48,8,3,6,0,5,0,31.45,-100.47,0,0,0.5,100,1,1,1,451,0,0,0,0
605,145,1952,5,23,5/23/52,11:40:00,3,TX,48,9,0,1,0,3,0,32.22,-95.62,0,0,0.5,33,1,1,1,213,0,0,0,0
608,148,1952,5,23,5/23/52,14:30:00,3,TX,48,10,1,1,0,3,0,31.45,-100.48,31.45,-100.37,7.1,50,1,1,1,451,0,0,0,0
618,158,1952,6,5,6/5/52,12:30:00,3,TX,48,11,1,0,0,1,0,33.65,-96.75,33.83,-96.65,13.8,33,1,1,1,181,0,0,0,0
679,219,1952,8,12,8/12/52,16:15:00,3,TX,48,12,1,0,0,4,0,33.12,-98.6,0,0,0.7,50,1,1,1,503,0,0,0,0
698,238,1952,12,3,12/3/52,18:15:00,3,TX,48,13,2,4,0,4,0,30.9,-95.3,30.95,-95.08,13.3,100,1,1,1,455,471,0,0,0
716,16,1953,2,19,2/19/53,15:00:00,3,TX,48,1,1,0,0,4,0,32.1,-94.6,0,0,0.1,10,1,1,1,401,0,0,0,1
717,17,1953,2,19,2/19/53,17:30:00,3,TX,48,2,1,0,0,4,0,31.72,-94.83,0,0,0.1,10,1,1,1,347,0,0,0,1
731,31,1953,3,12,3/12/53,16:30:00,3,TX,48,3,2,2,0,4,0,32.17,-94.33,0,0,2,80,1,1,1,365,0,0,0,0
732,32,1953,3,13,3/13/53,14:00:00,3,TX,48,4,4,25,17,6,0,33.28,-99.95,33.42,-99.78,13.9,50,1,1,1,207,275,0,0,0
805,105,1953,4,28,4/28/53,18:15:00,3,TX,48,5,3,3,0,4,0,30,-97.17,0,0,0.5,200,1,1,1,21,0,0,0,0
807,107,1953,4,28,4/28/53,20:45:00,3,TX,48,7,3,5,1,5,0,29.55,-98.53,29.58,-98.47,4.9,200,1,1,1,209,0,0,0,0
808,108,1953,4,28,4/28/53,21:00:00,3,TX,48,6,4,15,2,0,0,29.57,-98.7,0,0,1,1760,1,1,1,29,0,0,0,0
860,160,1953,5,11,5/11/53,14:15:00,3,TX,48,8,4,159,13,6,0,31.53,-100.58,31.53,-100.42,9.9,880,1,1,1,451,0,0,0,0
862,162,1953,5,11,5/11/53,16:10:00,3,TX,48,9,5,597,114,7,0,31.55,-97.15,31.75,-96.88,20.9,583,1,1,1,309,0,0,0,0
864,164,1953,5,11,5/11/53,18:30:00,3,TX,48,10,2,0,0,4,0,31.32,-96.22,31.37,-96.07,9.5,267,1,1,1,289,0,0,0,0
868,168,1953,5,16,5/16/53,14:30:00,3,TX,48,11,3,8,1,0,0,31.23,-95.57,31.25,-95.65,5.2,10,1,1,1,225,0,0,0,0
880,180,1953,5,18,5/18/53,15:00:00,3,TX,48,12,0,0,0,0,0,31.8,-95.4,0,0,0.1,10,1,1,1,73,0,0,0,1
911,211,1953,5,31,5/31/53,21:00:00,3,TX,48,13,1,0,0,0,0,34.5,-101.8,0,0,0.1,10,1,1,1,437,0,0,0,0
919,219,1953,6,5,6/5/53,13:30:00,3,TX,48,14,0,0,0,0,0,34.85,-100.22,0,0,0.1,10,1,1,1,87,0,0,0,0
1001,302,1953,6,19,6/19/53,17:30:00,3,TX,48,15,1,1,0,2,0,34,-98.5,0,0,0.1,10,1,1,1,485,0,0,0,0
1038,339,1953,7,15,7/15/53,13:30:00,3,TX,48,16,1,0,0,2,0,26.25,-97.73,0,0,0.1,10,1,1,1,61,0,0,0,0
1040,341,1953,7,15,7/15/53,17:30:00,3,TX,48,17,2,0,0,3,0,31.9,-100.63,0,0,1,10,1,1,1,81,0,0,0,0
1051,352,1953,7,28,7/28/53,10:15:00,3,TX,48,18,0,0,0,0,0,27.77,-97.42,0,0,1,67,1,1,1,355,0,0,0,0
1068,369,1953,8,11,8/11/53,17:45:00,3,TX,48,19,0,0,0,3,0,33.42,-99.8,33.42,-99.72,4.9,17,1,1,1,275,0,0,0,0
1069,370,1953,8,11,8/11/53,19:00:00,3,TX,48,20,2,0,0,5,0,33.93,-98.5,33.93,-98.5,0.1,880,1,1,1,485,77,0,0,0
1070,371,1953,8,15,8/15/53,14:50:00,3,TX,48,21,1,0,0,3,0,29.73,-94.98,0,0,0.1,33,1,1,1,201,0,0,0,0
1076,377,1953,8,31,8/31/53,20:25:00,3,TX,48,22,0,0,0,2,0,27.73,-97.83,0,0,0.5,17,1,1,1,355,0,0,0,0
1077,378,1953,8,31,8/31/53,20:55:00,3,TX,48,23,0,0,0,0,0,30.48,-99.77,0,0,0.1,10,1,1,1,267,0,0,0,0
1086,387,1953,10,23,10/23/53,1:00:00,3,TX,48,24,1,0,0,4,0,30.3,-97.78,0,0,0.5,100,1,1,1,453,0,0,0,0
1087,388,1953,10,23,10/23/53,15:15:00,3,TX,48,25,2,0,0,4,0,27.83,-97.07,27.87,-97.02,4.1,100,1,1,1,355,0,0,0,0
1095,396,1953,11,19,11/19/53,12:50:00,3,TX,48,26,2,0,0,4,0,31.77,-95.72,31.8,-95.63,5.6,50,1,1,1,1,0,0,0,0
1101,402,1953,12,1,12/1/53,19:00:00,3,TX,48,27,3,10,0,5,0,29.5,-97.93,29.53,-97.87,5.1,1760,1,1,1,187,0,0,0,0
1102,403,1953,12,2,12/2/53,6:15:00,3,TX,48,28,3,4,0,4,0,30.5,-96.97,30.53,-97,3.3,100,1,1,1,287,0,0,0,0
1103,404,1953,12,2,12/2/53,10:30:00,3,TX,48,29,2,0,0,3,0,29.2,-96.03,0,0,1.5,200,1,1,1,481,0,0,0,0
1104,405,1953,12,2,12/2/53,13:35:00,3,TX,48,30,2,5,2,2,0,30.37,-96.18,0,0,0.1,50,1,1,1,477,0,0,0,0
1105,406,1953,12,2,12/2/53,14:45:00,3,TX,48,31,1,0,0,3,0,31.43,-94.9,31.45,-94.87,2.7,100,1,1,1,5,0,0,0,0
1106,407,1953,12,2,12/2/53,15:30:00,3,TX,48,32,2,0,0,4,0,30.63,-96.48,0,0,0.2,67,1,1,1,41,0,0,0,0
1129,8,1954,2,19,2/19/54,5:20:00,3,TX,48,1,2,2,0,4,0,32.22,-98.68,32.25,-98.65,3,17,1,1,1,133,0,0,0,0
1130,9,1954,2,19,2/19/54,9:30:00,3,TX,48,2,1,0,0,3,0,32.95,-95.28,32.98,-95.27,2.7,17,1,1,1,499,0,0,0,0
1131,10,1954,2,19,2/19/54,13:30:00,3,TX,48,3,2,7,0,5,0,30.32,-95.45,30.45,-95.42,9.5,150,1,1,1,339,0,0,0,0
1176,55,1954,3,24,3/24/54,21:30:00,3,TX,48,4,1,4,0,4,0,33.15,-96.82,33.15,-96.73,4.9,67,1,1,1,85,0,0,0,0
1231,110,1954,4,11,4/11/54,16:41:00,3,TX,48,5,0,0,0,0,0,31.93,-103.73,0,0,0.1,10,1,1,1,301,0,0,0,0
1232,111,1954,4,14,4/14/54,15:00:00,3,TX,48,6,1,0,0,0,0,29.68,-96.92,0,0,2,17,1,1,1,149,0,0,0,0
1233,112,1954,4,15,4/15/54,9:00:00,3,TX,48,7,2,0,0,3,0,30.67,-93.85,30.67,-93.83,1.3,200,1,1,1,351,0,0,0,0
1234,113,1954,4,15,4/15/54,12:00:00,3,TX,48,8,1,0,0,0,0,29.85,-95.55,29.85,-95.5,3.3,167,1,1,1,201,0,0,0,0
1236,115,1954,4,15,4/15/54,15:00:00,3,TX,48,9,1,0,0,0,0,29.25,-98.33,0,0,0.1,10,1,1,1,29,0,0,0,0
1238,117,1954,4,15,4/15/54,17:57:00,3,TX,48,10,1,0,0,4,0,28.95,-96.08,0,0,1,33,1,1,1,321,0,0,0,0
1247,126,1954,4,21,4/21/54,14:20:00,3,TX,48,11,2,0,0,3,0,31.03,-102.88,0,0,1,880,1,1,1,371,0,0,0,0
1248,127,1954,4,21,4/21/54,19:42:00,3,TX,48,12,0,0,0,0,0,32.77,-101.43,0,0,0.1,10,1,1,1,33,0,0,0,1
1249,128,1954,4,21,4/21/54,20:00:00,3,TX,48,13,0,0,0,0,0,32.57,-101.97,0,0,2,33,1,1,1,115,0,0,0,0
1250,129,1954,4,21,4/21/54,21:15:00,3,TX,48,14,0,0,0,0,0,33.07,-101.53,0,0,1,13,1,1,1,169,0,0,0,0
1265,144,1954,4,27,4/27/54,14:00:00,3,TX,48,15,1,0,0,0,0,32.42,-101.47,0,0,2,17,1,1,1,227,0,0,0,0
1268,147,1954,4,27,4/27/54,18:30:00,3,TX,48,16,2,0,0,0,0,31.73,-99.95,31.57,-99.95,11.5,33,1,1,1,399,0,0,0,0
1272,151,1954,4,28,4/28/54,17:00:00,3,TX,48,17,1,1,0,0,0,31.78,-97.47,0,0,2,100,1,1,1,35,0,0,0,0
1277,156,1954,4,29,4/29/54,14:50:00,3,TX,48,18,1,1,0,0,0,31.85,-99.95,0,0,0.1,10,1,1,1,399,0,0,0,0
1280,159,1954,4,29,4/29/54,16:40:00,3,TX,48,19,1,0,0,0,0,32.62,-99.75,32.65,-99.72,3.6,17,1,1,1,253,0,0,0,0
1287,166,1954,4,30,4/30/54,0:30:00,3,TX,48,20,1,0,0,4,0,31.85,-97.98,31.92,-97.92,6.1,880,1,1,1,193,0,0,0,0
1289,168,1954,4,30,4/30/54,5:37:00,3,TX,48,21,1,0,0,5,0,29.98,-97.88,30,-97.63,15,67,1,1,1,209,55,0,0,0
1290,169,1954,4,30,4/30/54,6:10:00,3,TX,48,22,3,6,0,5,0,30.42,-97.45,31.48,-95.47,139.9,880,1,1,1,453,491,331,395,0
1291,170,1954,4,30,4/30/54,6:30:00,3,TX,48,23,2,2,0,5,0,30.1,-96.97,30.2,-96.62,15.8,880,1,1,1,287,149,477,0,0
1292,171,1954,4,30,4/30/54,7:30:00,3,TX,48,24,2,0,0,0,0,30.63,-96.33,30.65,-96.32,1.9,67,1,1,1,41,0,0,0,0
1293,172,1954,4,30,4/30/54,8:00:00,3,TX,48,25,2,25,0,5,0,31.07,-95.12,31.55,-94.1,68.8,883,1,1,1,455,5,347,405,0
1295,174,1954,4,30,4/30/54,10:00:00,3,TX,48,26,3,1,0,4,0,32.92,-94.72,33.52,-93.42,86.3,50,2,0,1,0,0,0,0,0
1296,175,1954,4,30,4/30/54,10:30:00,3,TX,48,27,3,2,0,5,0,33.4,-94.63,33.48,-93.1,111.6,1760,2,0,1,0,0,0,0,0
1316,195,1954,5,1,5/1/54,14:15:00,3,TX,48,28,4,2,0,5,0,33.98,-99.72,34.65,-98.92,68.6,440,2,0,1,0,0,0,0,0
1330,209,1954,5,1,5/1/54,19:00:00,3,TX,48,29,1,4,0,0,0,33.43,-98.38,0,0,1,30,1,1,1,237,0,0,0,0
1333,212,1954,5,1,5/1/54,21:00:00,3,TX,48,30,1,0,0,0,0,33.6,-96.18,0,0,1,33,1,1,1,147,0,0,0,0
1334,213,1954,5,1,5/1/54,21:15:00,3,TX,48,31,2,0,0,0,0,33.55,-98.15,33.57,-98.13,1.3,67,1,1,1,77,0,0,0,0
1335,214,1954,5,2,5/2/54,1:00:00,3,TX,48,32,1,0,0,0,0,32.12,-98.55,0,0,0.1,10,1,1,1,93,0,0,0,0
1338,217,1954,5,2,5/2/54,6:50:00,3,TX,48,33,2,0,0,0,0,32.53,-94.95,32.53,-94.95,0.1,20,1,1,1,183,0,0,0,0
1345,224,1954,5,2,5/2/54,15:00:00,3,TX,48,34,3,4,0,0,0,32.22,-95.67,0,0,0.1,10,1,1,1,213,0,0,0,0
1352,231,1954,5,6,5/6/54,8:00:00,3,TX,48,35,1,0,0,0,0,33.27,-96.02,0,0,0.1,10,1,1,1,231,0,0,0,0
1353,232,1954,5,6,5/6/54,15:00:00,3,TX,48,36,1,0,0,0,0,32.2,-99.08,0,0,1,17,1,1,1,133,0,0,0,0
1357,236,1954,5,10,5/10/54,14:30:00,3,TX,48,37,1,0,0,0,0,31.05,-96.13,0,0,0.1,10,1,1,1,289,0,0,0,0
1358,237,1954,5,11,5/11/54,20:00:00,3,TX,48,38,1,0,0,0,0,30.38,-96.1,0,0,0.1,10,1,1,1,185,0,0,0,0
1359,238,1954,5,11,5/11/54,21:00:00,3,TX,48,39,1,0,0,0,0,29.28,-96.88,0,0,1,17,1,1,1,285,0,0,0,0
1360,239,1954,5,12,5/12/54,1:20:00,3,TX,48,40,1,0,0,0,0,29.87,-94.62,0,0,0.1,10,1,1,1,71,0,0,0,0
1368,247,1954,5,18,5/18/54,15:00:00,3,TX,48,41,1,0,0,0,0,31.63,-97.6,0,0,0.1,10,1,1,1,35,0,0,0,0
1369,248,1954,5,19,5/19/54,13:25:00,3,TX,48,42,1,0,0,3,0,30.35,-97.37,0,0,0.1,10,1,1,1,21,0,0,0,1
1370,249,1954,5,22,5/22/54,21:00:00,3,TX,48,43,1,0,0,0,0,35.8,-100.12,0,0,0.1,10,1,1,1,211,0,0,0,0
1380,259,1954,5,25,5/25/54,18:15:00,3,TX,48,44,0,0,0,0,0,33.02,-96.38,0,0,0.1,10,1,1,1,85,0,0,0,0
1381,260,1954,5,26,5/26/54,15:00:00,3,TX,48,45,0,0,0,0,0,32.75,-99.9,0,0,1,10,1,1,1,253,0,0,0,0
1383,262,1954,5,27,5/27/54,1:20:00,3,TX,48,46,0,0,0,0,0,32.2,-98.53,32.22,-98.53,1.1,10,1,1,1,93,0,0,0,0
1398,277,1954,5,29,5/29/54,17:22:00,3,TX,48,47,1,9,0,0,0,32.08,-102.6,32.17,-102.72,9.1,133,1,1,1,3,0,0,0,0
1399,278,1954,5,29,5/29/54,18:00:00,3,TX,48,48,2,2,0,0,0,31.4,-102.6,0,0,0.1,33,1,1,1,103,0,0,0,0
1428,307,1954,6,1,6/1/54,18:00:00,3,TX,48,49,2,0,0,3,0,30.9,-102.3,30.93,-102.17,8.3,880,1,1,1,371,0,0,0,0
1429,308,1954,6,1,6/1/54,19:30:00,3,TX,48,50,3,14,1,6,0,34.02,-100.3,33.87,-100.15,13.4,267,1,1,1,101,0,0,0,0
1430,309,1954,6,1,6/1/54,20:30:00,3,TX,48,51,2,0,0,0,0,33.63,-99.58,33.65,-99.57,1.9,133,1,1,1,275,0,0,0,0
1431,310,1954,6,1,6/1/54,20:55:00,3,TX,48,52,3,4,1,5,0,33.95,-98.67,33.95,-98.57,5.9,50,1,1,1,485,0,0,0,0
1432,311,1954,6,1,6/1/54,22:00:00,3,TX,48,53,3,3,0,0,0,34.1,-98.57,0,0,0.1,10,1,1,1,153,0,0,0,0
1434,313,1954,6,2,6/2/54,17:30:00,3,TX,48,54,2,8,1,4,0,33.4,-95.7,33.45,-95.62,5.9,1000,1,1,1,119,0,0,0,0
1435,314,1954,6,2,6/2/54,18:00:00,3,TX,48,55,1,0,0,0,0,32.75,-95.58,0,0,2,17,1,1,1,379,0,0,0,0
1436,315,1954,6,2,6/2/54,20:00:00,3,TX,48,56,1,0,0,0,0,31.4,-96.9,0,0,0.1,10,1,1,1,145,0,0,0,0
1460,339,1954,6,11,6/11/54,20:00:00,3,TX,48,57,0,3,0,3,0,29.32,-103.58,29.37,-103.53,4.7,100,1,1,1,43,0,0,0,0
1469,348,1954,6,13,6/13/54,17:15:00,3,TX,48,58,0,0,0,0,0,35.83,-101.43,0,0,0.1,10,1,1,1,233,0,0,0,0
1471,350,1954,6,13,6/13/54,21:00:00,3,TX,48,59,2,1,0,0,0,31.5,-103.5,0,0,25,133,1,1,1,389,0,0,0,0
1473,352,1954,6,14,6/14/54,14:00:00,3,TX,48,60,0,0,0,5,0,32.25,-101.47,0,0,0.1,10,1,1,1,227,0,0,0,0
1507,386,1954,6,22,6/22/54,18:00:00,3,TX,48,61,0,0,0,0,0,32.3,-100.4,0,0,1,23,1,1,1,353,0,0,0,0
1522,401,1954,6,30,6/30/54,15:00:00,3,TX,48,62,1,0,0,1,0,34.3,-99.75,0,0,0.1,10,1,1,1,197,0,0,0,0
1532,411,1954,7,6,7/6/54,15:40:00,3,TX,48,63,2,0,0,0,0,29.7,-96.9,29.72,-96.97,4.5,50,1,1,1,89,0,0,0,0
1535,414,1954,7,8,7/8/54,16:00:00,3,TX,48,64,0,0,0,0,0,33.12,-96.15,0,0,0.1,10,1,1,1,231,0,0,0,1
1540,419,1954,7,12,7/12/54,17:50:00,3,TX,48,65,2,0,0,3,0,29.58,-98.33,0,0,1,33,1,1,1,29,0,0,0,0
1547,426,1954,7,18,7/18/54,18:40:00,3,TX,48,66,3,0,0,4,0,32.32,-94.52,0,0,0.8,880,1,1,1,401,0,0,0,0
1560,439,1954,7,26,7/26/54,17:00:00,3,TX,48,67,1,0,0,0,0,30.38,-96.08,0,0,1,50,1,1,1,185,0,0,0,0
1617,496,1954,8,31,8/31/54,13:45:00,3,TX,48,68,1,0,0,4,0,31.63,-95.6,0,0,0.5,300,1,1,1,1,0,0,0,0
1632,511,1954,9,29,9/29/54,15:00:00,3,TX,48,70,1,0,0,0,0,33.65,-96.93,0,0,1,17,1,1,1,181,0,0,0,0
1633,512,1954,9,29,9/29/54,15:00:00,3,TX,48,71,0,0,0,0,0,33.65,-96.93,0,0,0.5,10,1,1,1,181,0,0,0,0
1634,513,1954,9,29,9/29/54,15:00:00,3,TX,48,72,0,0,0,3,0,33.65,-96.93,0,0,0.5,10,1,1,1,181,0,0,0,0
1636,515,1954,9,29,9/29/54,17:30:00,3,TX,48,69,1,0,0,3,0,33.3,-97.78,0,0,2,17,1,1,1,497,0,0,0,0
1639,518,1954,10,1,10/1/54,16:00:00,3,TX,48,73,1,0,0,2,0,30.58,-104.52,0,0,0.1,10,1,1,1,243,0,0,0,1
1645,524,1954,10,11,10/11/54,18:00:00,3,TX,48,74,1,0,0,3,0,32.9,-98.08,0,0,2,440,1,1,1,363,0,0,0,0
1647,526,1954,10,22,10/22/54,8:00:00,3,TX,48,75,2,0,0,4,0,30.92,-96.12,30.92,-96,7.1,100,1,1,1,313,0,0,0,0
1648,527,1954,10,22,10/22/54,17:00:00,3,TX,48,76,1,1,0,4,0,28.65,-96.9,28.73,-96.83,7.1,333,1,1,1,469,0,0,0,0
1650,529,1954,10,22,10/22/54,19:00:00,3,TX,48,77,3,25,0,5,0,28.15,-97.43,27.87,-97.33,20.5,333,1,1,1,409,0,0,0,0
1701,31,1955,3,20,3/20/55,8:30:00,3,TX,48,1,1,1,0,4,0,33.73,-97.68,33.92,-97.48,17.2,800,1,1,1,337,0,0,0,0
1703,33,1955,3,20,3/20/55,15:00:00,3,TX,48,2,2,0,0,3,0,32.08,-96.72,0,0,0.3,50,1,1,1,349,0,0,0,0
1705,35,1955,3,20,3/20/55,16:15:00,3,TX,48,3,1,1,0,0,0,31.12,-97.73,31.12,-97.67,4.1,20,1,1,1,27,0,0,0,0
1707,37,1955,3,20,3/20/55,17:43:00,3,TX,48,4,1,0,0,4,0,29.37,-97.65,29.42,-97.57,6.2,400,1,1,1,177,0,0,0,0
1709,39,1955,3,20,3/20/55,21:30:00,3,TX,48,5,1,0,0,4,0,32.48,-94.07,32.53,-94.03,4.3,300,1,1,1,203,0,0,0,0
1713,43,1955,3,21,3/21/55,15:00:00,3,TX,48,6,2,0,0,3,0,31.17,-97.33,31.17,-97.28,3.6,17,1,1,1,27,0,0,0,0
1720,50,1955,3,31,3/31/55,15:00:00,3,TX,48,7,2,0,0,5,0,33.63,-97.17,33.65,-97.17,1.1,10,1,1,1,97,0,0,0,0
1731,61,1955,4,5,4/5/55,6:20:00,3,TX,48,8,2,6,0,5,0,32.93,-99.8,33.03,-99.07,43.7,67,1,1,1,253,207,447,0,0
1732,62,1955,4,5,4/5/55,8:30:00,3,TX,48,9,2,0,0,3,0,33.82,-98.18,0,0,0.1,10,1,1,1,77,0,0,0,0
1733,63,1955,4,6,4/6/55,2:30:00,3,TX,48,11,3,27,1,6,0,33.63,-96.6,33.58,-96.08,30.2,67,1,1,1,181,147,0,0,0
1734,64,1955,4,6,4/6/55,2:45:00,3,TX,48,12,3,0,0,5,0,33.43,-98.4,33.47,-98.03,21.7,10,1,1,1,237,77,0,0,0
1735,65,1955,4,6,4/6/55,4:00:00,3,TX,48,13,1,2,0,3,0,33.17,-94.35,0,0,0.1,100,1,1,1,67,0,0,0,0
1736,66,1955,4,6,4/6/55,4:20:00,3,TX,48,14,3,0,0,5,0,33.57,-97.22,33.63,-96.97,15.1,10,1,1,1,97,0,0,0,0
1737,67,1955,4,6,4/6/55,4:30:00,3,TX,48,15,2,1,0,4,0,33.37,-97.18,33.45,-96.53,37.9,10,1,1,1,121,181,0,0,0
1738,68,1955,4,6,4/6/55,5:50:00,3,TX,48,10,2,0,0,0,0,33.57,-96.9,33.62,-96.83,5.2,10,1,1,1,181,0,0,0,0
1739,69,1955,4,6,4/6/55,7:00:00,3,TX,48,16,2,0,0,0,0,33.33,-95.37,33.35,-95.2,9.8,10,1,1,1,223,159,0,0,0
1747,77,1955,4,12,4/12/55,11:30:00,3,TX,48,17,3,7,0,5,0,32.05,-95.52,32.08,-95.43,5.6,300,1,1,1,1,0,0,0,0
